corsi_di_laurea	corsi	id	name	surname	phone	email	office_address	office_number
Corso di Laurea Magistrale in Biologia marina	corporis consequatur labore	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea in Ingegneria Civile	est ratione qui	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea in Logopedia	eligendi aut vel	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea Magistrale in Chimica	voluptatem fuga incidunt	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea in Economia	omnis culpa voluptatem	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea Magistrale in Innovazione e Servizio Sociale	nobis vitae reprehenderit	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	saepe quod id	1	Artemide	Rizzi	+87 81 28355927	jarno26@bianchi.it	Contrada Penelope 73	161
Corso di Laurea in Biologia molecolare	aut consequatur sit	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	laudantium sunt consequatur	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Ingegneria Elettronica	corrupti enim praesentium	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea Magistrale in Bioingegneria	architecto id cum	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Infermieristica	rerum reiciendis quam	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Tecniche di Laboratorio Biomedico	eius animi atque	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Educazione Professionale	similique id non	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Fisioterapia	et in aspernatur	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Lettere	facilis magnam rem	2	Gianantonio	Battaglia	NULL	grizzi@costa.it	Incrocio Marini 9	28
Corso di Laurea in Ingegneria dell'Informazione	placeat mollitia atque	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Ingegneria Elettronica	officia dolor a	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
Corso di Laurea in Fisioterapia	officia nam pariatur	3	Erminia	Gatti	NULL	morelli.marina@libero.it	Strada Vitali 8 Piano 0	87
