id	degree_id	name	surname	date_of_birth	fiscal_code	enrolment_date	registration_number	email	Date
3182	2	Egidio	Gentile	1994-07-17	GNAJPL91Q95A999R	2018-07-09	623214	ivano.valentini@romano.com	2025-07-17
4588	21	Loredana	Sanna	1994-07-14	CTWJDQ03A84G479J	2020-02-04	624620	ccattaneo@yahoo.it	2025-07-17
726	54	Tosca	Ricci	1994-07-10	DRKMCB38Q84W635K	2020-02-20	620758	eusebio78@yahoo.com	2025-07-17
1880	60	Yago	Bianchi	1994-07-07	KXKDHL80I80C974D	2021-01-09	621912	gallo.quarto@libero.it	2025-07-17
2839	64	Ninfa	Benedetti	1994-07-05	UJUGNC74T09G344K	2021-05-01	622871	neri.vitale@yahoo.com	2025-07-17
2018	9	Kris	Costa	1994-06-28	TZVHDR48B69I848N	2021-01-08	622050	gallo.michele@barone.org	2025-07-17
725	14	Enrico	Riva	1994-06-28	AGGMUP29Q53Y562D	2019-09-11	620757	rossetti.gilda@ferraro.it	2025-07-17
2330	32	Jacopo	Ruggiero	1994-06-28	SBDNOT20X46E440I	2020-01-07	622362	qparisi@valentini.org	2025-07-17
1902	26	Nicoletta	Morelli	1994-06-23	INQLOS66U28T088E	2020-05-01	621934	muzio95@donati.com	2025-07-17
2005	4	Dimitri	Colombo	1994-06-22	GYJTGT41D85L642V	2019-01-31	622037	csala@yahoo.it	2025-07-17
4965	9	Nicoletta	Russo	1994-06-21	ZGHIEP17Z24I362F	2019-05-11	624997	giacobbe85@yahoo.com	2025-07-17
3381	7	Bortolo	Sartori	1994-06-20	YLBDPP59T22C306C	2020-02-25	623413	qpagano@gmail.com	2025-07-17
289	23	Demi	Moretti	1994-06-19	PVHPWL83K16H561Y	2019-09-12	620321	rosaria22@yahoo.it	2025-07-17
3721	73	Donatella	Cattaneo	1994-06-18	PRGLGA69R32J179S	2018-07-14	623753	teseo.greco@rizzo.it	2025-07-17
3002	20	Ruth	Benedetti	1994-06-14	EDHRAN42A97R642V	2019-08-21	623034	gentile.enrico@serra.org	2025-07-17
3981	32	Morgana	Parisi	1994-06-10	AUAFEO99X01H471Q	2021-04-23	624013	ecaputo@romano.it	2025-07-17
2222	73	Cristyn	Sala	1994-06-09	HAZFNY73U61E424S	2019-12-06	622254	lucrezia53@email.it	2025-07-17
1825	30	Gilda	Barbieri	1994-05-26	EXBQTH39F17F482H	2018-12-26	621857	gatti.lidia@libero.it	2025-07-17
605	29	Nayade	Monti	1994-05-20	KBAELH72B48J720Q	2021-02-04	620637	adeluca@milani.it	2025-07-17
4292	51	Nicoletta	Mancini	1994-05-20	LWYZYQ53R12B084Y	2018-08-05	624324	ercole68@yahoo.it	2025-07-17
2317	13	Carlo	Monti	1994-05-17	HCINSN98K94T731G	2020-05-09	622349	quirino.romano@yahoo.com	2025-07-17
3683	8	Rosalino	Ruggiero	1994-05-15	VTCFSG55L96T129I	2020-06-01	623715	ulrico58@gatti.it	2025-07-17
3657	27	Diamante	Amato	1994-05-12	ASHXTF54M41F578M	2021-02-20	623689	damico.hector@martinelli.com	2025-07-17
1580	70	Ulrico	Battaglia	1994-05-12	GMNCIU23O02E566O	2019-10-30	621612	villa.radio@palumbo.it	2025-07-17
4490	14	Ian	Fontana	1994-05-09	THLVPV83F02K308Z	2018-10-04	624522	neri.noel@orlando.it	2025-07-17
4801	2	Vienna	Vitale	1994-05-09	DAMVGQ18H72L338O	2021-05-31	624833	riva.loredana@santoro.org	2025-07-17
2308	42	Siro	Costa	1994-05-08	ECSBQN78P02V200Z	2019-02-15	622340	ortensia97@libero.it	2025-07-17
716	27	Monia	Negri	1994-05-06	BCHYGY06R66B658Z	2021-01-08	620748	nparisi@hotmail.com	2025-07-17
2090	46	Loris	De Angelis	1994-05-06	WHEOOV04M18P725P	2019-05-11	622122	leonardo.giuliani@gentile.net	2025-07-17
4439	57	Benedetta	Riva	1994-05-05	CKWKDE34B69U510J	2020-02-06	624471	clea67@basile.it	2025-07-17
971	33	Erminia	Bianchi	1994-05-04	XOHQKG51R30J013A	2019-08-23	621003	rlongo@mancini.it	2025-07-17
2885	10	Zelida	Carbone	1994-05-02	ZMBFBZ85L00A287B	2020-02-22	622917	esposito.sirio@fiore.net	2025-07-17
642	11	Sue ellen	Ruggiero	1994-04-30	LSSZGE27H14Y567C	2018-12-25	620674	basile.noemi@hotmail.com	2025-07-17
2238	5	Isabel	Rossetti	1994-04-27	HPNXWV68R61S124Q	2018-08-24	622270	flaviana.piras@moretti.net	2025-07-17
390	33	Alighiero	Damico	1994-04-25	MYCRQC12P36E826T	2019-10-05	620422	donatella23@damico.org	2025-07-17
3765	60	Rocco	Longo	1994-04-24	OOYAHD75J10H241K	2020-07-20	623797	luigi.coppola@yahoo.com	2025-07-17
3682	60	Rebecca	De Angelis	1994-04-22	QZSVGX16C45Q765B	2018-12-23	623714	orlando.sueellen@deluca.com	2025-07-17
1986	13	Nicoletta	Barbieri	1994-04-22	KHEDMU25Z96D616G	2020-04-15	622018	rmilani@yahoo.it	2025-07-17
3229	64	Raoul	Santoro	1994-04-16	FUFCKS17K85W855L	2020-02-07	623261	bellini.timothy@gmail.com	2025-07-17
4364	73	Lino	Monti	1994-04-14	NISKCB93B79U336S	2020-04-29	624396	ygallo@esposito.it	2025-07-17
196	28	Modesto	Giuliani	1994-04-11	URTZZO19U57B236I	2018-06-10	620228	vitali.irene@hotmail.com	2025-07-17
3153	58	Piererminio	Sartori	1994-04-11	LTSHRS38O12D469Z	2019-02-13	623185	clodovea87@yahoo.it	2025-07-17
3776	69	Danny	Moretti	1994-04-10	NPQNFT78Q34U612S	2020-04-06	623808	barone.fulvio@mancini.net	2025-07-17
1091	46	Miriana	Sorrentino	1994-04-07	PNHMOR80K97U735D	2018-06-16	621123	iricci@libero.it	2025-07-17
2144	48	Alighieri	Esposito	1994-04-02	DWAIQX55K45L484B	2019-08-10	622176	amedeo35@longo.it	2025-07-17
251	5	Quarto	De rosa	1994-04-01	VGPARW03X37I164A	2021-03-01	620283	selvaggia03@derosa.it	2025-07-17
1868	9	Antonino	De rosa	1994-03-30	THPWND68G56S060E	2020-05-15	621900	caputo.lamberto@hotmail.com	2025-07-17
1266	46	Matilde	Donati	1994-03-29	UGXJMT21U50S889B	2019-02-27	621298	frizzo@giuliani.org	2025-07-17
4126	65	Soriana	Piras	1994-03-29	AXRVKD30D48E558M	2021-04-21	624158	grizzi@leone.org	2025-07-17
2996	51	Ruth	Sartori	1994-03-25	OSRGEF68R11U503K	2020-08-08	623028	dcaputo@libero.it	2025-07-17
2662	19	Vitalba	Marchetti	1994-03-24	NTTGCE04K69I195O	2020-08-08	622694	fortunata.moretti@email.it	2025-07-17
4138	58	Quarto	Silvestri	1994-03-23	TTGIUN94Q73F002E	2020-12-31	624170	rsartori@hotmail.com	2025-07-17
4291	55	Costanzo	Rossetti	1994-03-23	VUFKVY64B31Z587V	2019-08-06	624323	deborah.greco@riva.org	2025-07-17
4002	26	Diana	Grasso	1994-03-20	ZDVCXB55Y30Y930A	2019-08-13	624034	teseo73@riva.it	2025-07-17
2731	75	Caligola	Grasso	1994-03-17	WTADHT53G07J052P	2021-01-17	622763	ngallo@mancini.it	2025-07-17
1703	30	Patrizio	Villa	1994-03-15	URLBIU12T68H763G	2018-12-07	621735	assia71@yahoo.com	2025-07-17
4458	26	Evita	Bianco	1994-03-15	UGKVGR54V84L718W	2018-10-15	624490	yferri@yahoo.it	2025-07-17
4116	50	Elda	Martinelli	1994-03-14	MEPQQR07H46P689E	2020-08-20	624148	bernardi.marianita@mariani.it	2025-07-17
872	19	Tolomeo	Costa	1994-03-14	MXYUXI51X13F063A	2019-07-29	620904	ferrari.fatima@yahoo.it	2025-07-17
3591	37	Carlo	Testa	1994-03-13	COYFHC91L60I355A	2020-02-09	623623	marino.dylan@conti.net	2025-07-17
4489	15	Fulvio	Rizzi	1994-03-12	WZUGJQ57N28Z518X	2020-10-16	624521	timoteo.bernardi@sala.com	2025-07-17
169	33	Brigitta	Carbone	1994-03-09	MDCAIZ85Y82T491J	2021-03-23	620201	messina.giacinta@gentile.it	2025-07-17
2200	49	Felicia	Martino	1994-03-08	PCTJGJ77I89W503K	2018-09-06	622232	valentini.odone@email.it	2025-07-17
1895	33	Giulietta	Ferraro	1994-03-06	BMYKYN88E96A158R	2018-07-19	621927	messina.oretta@libero.it	2025-07-17
3648	75	Benedetta	D'amico	1994-03-05	AWENPS01Y04O624L	2019-01-10	623680	irinaldi@conti.it	2025-07-17
4375	3	Neri	Bianco	1994-03-05	BXMANE13D05H357F	2018-06-11	624407	ettore20@benedetti.it	2025-07-17
