id	degree_id	name	surname	date_of_birth	fiscal_code	enrolment_date	registration_number	email	id	department_id	name	level	address	email	website
20	53	Joshua	Vitale	1980-08-31	GRFBKR76L42T308O	2021-03-27	620052	hlongo@benedetti.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
57	53	Doriana	Benedetti	1978-03-22	QSFGPL05R66U759U	2019-05-01	620089	ofarina@montanari.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
198	53	Ian	Gentile	1996-02-11	NFOBKU23P07P003A	2020-10-30	620230	renzo.fontana@caputo.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
227	53	Celeste	Bernardi	1987-12-01	AUISJD03C34L671E	2020-04-06	620259	hvalentini@barbieri.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
287	53	Donatella	Gatti	1989-03-09	LUXDAL85B00X852V	2019-01-10	620319	bellini.vera@hotmail.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
303	53	Cosetta	Sala	1994-08-03	EGWRTV09F49G530P	2019-10-05	620335	kbianco@ferraro.net	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
346	53	Guido	Barbieri	2001-05-09	QIDXRR92W55K291T	2018-09-30	620378	vbellini@libero.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
420	53	Genziana	Pellegrino	1999-03-18	NAMGNB70M93D630K	2021-03-09	620452	quirino.pellegrino@piras.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
470	53	Demis	Bianco	1995-01-23	LEMMUF78H21U457Y	2020-04-14	620502	zmariani@martino.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
526	53	Gregorio	Giordano	2001-05-24	PGTLUC05P63W508E	2018-07-28	620558	cirino.villa@email.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
534	53	Giorgio	Serra	1988-01-11	KNJPYL52O67L024I	2018-09-13	620566	sibilla.bianchi@martinelli.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
578	53	Xavier	Damico	1986-10-29	TEIEAL83C32K139I	2020-11-19	620610	rizzo.kris@hotmail.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
587	53	Battista	De Angelis	1988-12-12	PFDRMB28L94P258B	2020-02-08	620619	filomena.rinaldi@palmieri.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
676	53	Davide	De Santis	1974-03-17	TDKLDN14R32K585K	2020-06-20	620708	priva@battaglia.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
816	53	Matteo	Conti	1989-08-19	ETMOJA50B66H200W	2019-12-11	620848	guerra.matilde@greco.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
864	53	Miriam	Rizzo	1976-06-15	SMXZMT75K39K884J	2021-02-03	620896	basile.adriano@gmail.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
867	53	Sue ellen	Costantini	1971-06-26	OYSKFC66K09N862N	2018-09-01	620899	brigitta43@gmail.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
929	53	Eriberto	Gentile	1983-11-16	WVWBUC34M13T433W	2018-09-10	620961	ferretti.moreno@hotmail.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
1230	53	Serse	Rinaldi	1975-12-12	UPLQZO01S72C979U	2020-11-17	621262	donatella.donati@gmail.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
1237	53	Domiziano	Conte	1975-11-16	LADHCH84A76U442M	2019-02-14	621269	oamato@yahoo.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
1290	53	Damiana	Bianco	1986-12-30	ZUESUX87R21B592W	2019-02-18	621322	zaccaria.martino@valentini.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
1329	53	Ercole	Giuliani	1993-02-19	EWBQOQ78S63F034Q	2019-01-23	621361	marianita16@guerra.it	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
1382	53	Ubaldo	De rosa	1984-03-05	GCQWZW96I47N889V	2018-12-09	621414	gilda77@caruso.com	53	9	Corso di Laurea in Economia	triennale	Via Edvige 422	economia@uni.it	www.economia.uni.it
