id	degree_id	name	surname	date_of_birth	fiscal_code	enrolment_date	registration_number	email	degree_name	department_name
4946	64	Brigitta	Amato	1984-09-18	PEMNHQ68D26N495V	2021-03-13	624978	isabel.battaglia@sanna.com	Corso di Laurea Magistrale in Relazioni Internazionali e Diplomazia	Dipartimento di Scienze politiche, giuridiche e studi internazionali
139	31	Carlo	Amato	1976-01-22	MAVYKM31U55A058I	2019-04-19	620171	moreno78@bernardi.com	Corso di Laurea Magistrale in Informatica	Dipartimento di Matematica
3512	16	Carlo	Amato	1999-10-29	EETGYX97W40T971P	2018-06-13	623544	olombardi@libero.it	Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	Dipartimento di Ingegneria civile, edile e ambientale
795	39	Ciro	Amato	1972-11-25	THVHZD43C77P986X	2019-07-29	620827	negri.bernardo@pellegrino.it	Corso di Laurea in Fisioterapia	Dipartimento di Neuroscienze
737	73	Danuta	Amato	1991-08-03	LXYMCV49K13F828L	2019-05-29	620769	abramo.ferrari@fontana.com	Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	Dipartimento di Studi linguistici e letterari
3657	27	Diamante	Amato	1994-05-12	ASHXTF54M41F578M	2021-02-20	623689	damico.hector@martinelli.com	Corso di Laurea Magistrale in Cybersecurity	Dipartimento di Ingegneria dell'informazione
1450	49	Diana	Amato	1991-09-09	BXCXVD83N67T441F	2020-08-14	621482	osantoro@neri.com	Corso di Laurea Magistrale in Chimica	Dipartimento di Scienze chimiche
4349	24	Domingo	Amato	1987-11-01	VMOTIP10C72R518D	2020-11-08	624381	evita.negri@libero.it	Corso di Laurea Magistrale in Ingegneria dell'Automazione	Dipartimento di Ingegneria dell'informazione
710	39	Egisto	Amato	1990-06-07	SZSUWA12R81D485V	2020-08-24	620742	qgallo@libero.it	Corso di Laurea in Fisioterapia	Dipartimento di Neuroscienze
1356	1	Enrica	Amato	1987-08-18	BLYSQW49G61T377H	2019-12-26	621388	nunzia80@romano.com	Corso di Laurea in Biologia	Dipartimento di Biologia
990	69	Enrica	Amato	2001-06-11	CZDIBE43L22X881G	2019-05-04	621022	gioacchino.russo@giordano.it	Corso di Laurea in Lettere	Dipartimento di Studi linguistici e letterari
1481	61	Felicia	Amato	2000-11-09	PYQVNW72R97Q801J	2021-04-03	621513	kconte@silvestri.it	Corso di Laurea Magistrale in European and Global Studies	Dipartimento di Scienze politiche, giuridiche e studi internazionali
4226	33	Fiorenzo	Amato	1974-07-22	JDQJLT16C13W046F	2019-06-28	624258	giovanna.giordano@testa.com	Corso di Laurea in Infermieristica	Dipartimento di Medicina
3969	13	Genziana	Amato	1978-05-05	WJCHWP18F92E252N	2019-07-08	624001	dante.grassi@pellegrini.org	Corso di Laurea Magistrale in Astronomia	Dipartimento di Fisica e astronomia
4410	27	Germano	Amato	1998-09-14	QDWERQ02N53Z223G	2018-08-28	624442	giacinta73@gmail.com	Corso di Laurea Magistrale in Cybersecurity	Dipartimento di Ingegneria dell'informazione
92	16	Giacinto	Amato	1993-04-29	TSFSCQ90F84B365P	2020-10-07	620124	dmazza@riva.it	Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	Dipartimento di Ingegneria civile, edile e ambientale
637	1	Grazia	Amato	1984-11-08	LZHMHH32E10L021N	2019-04-06	620669	wneri@libero.it	Corso di Laurea in Biologia	Dipartimento di Biologia
2669	57	Iacopo	Amato	1987-08-19	GSUTQN82B81G303D	2020-03-23	622701	costantini.damiano@yahoo.com	Corso di Laurea Magistrale in Economia e Diritto	Dipartimento di Scienze economiche e aziendali
1704	26	Irene	Amato	1999-05-25	CDPWQU84X58Y707S	2021-02-03	621736	emilia.conti@sala.net	Corso di Laurea Magistrale in Ingegneria Informatica	Dipartimento di Ingegneria dell'informazione
2135	23	Joshua	Amato	1979-12-16	KNXUPD98H86P605I	2021-05-26	622167	giuliani.lucia@bellini.com	Corso di Laurea Magistrale in Bioingegneria	Dipartimento di Ingegneria dell'informazione
3649	1	Joshua	Amato	1975-03-30	NPMSIT57N36Y340N	2018-08-11	623681	russo.nunzia@esposito.com	Corso di Laurea in Biologia	Dipartimento di Biologia
4723	4	Kociss	Amato	1991-11-27	MCJRVQ42B03H335Z	2019-12-14	624755	maristella.derosa@hotmail.com	Corso di Laurea in Scienze naturali	Dipartimento di Biologia
4206	10	Loris	Amato	2002-02-19	MKHFGL82H42Q129I	2019-05-22	624238	morgana.morelli@hotmail.com	Corso di Laurea Magistrale in Scienze della natura	Dipartimento di Biologia
2228	2	Luigi	Amato	1985-06-04	KOTHAC01O85D593X	2020-11-28	622260	pacifico27@parisi.org	Corso di Laurea in Biologia molecolare	Dipartimento di Biologia
672	58	Manfredi	Amato	1985-12-17	SLQTGY48W17F724V	2021-05-27	620704	piras.graziano@ferrari.com	Corso di Laurea in Diritto dell'Economia	Dipartimento di Scienze politiche, giuridiche e studi internazionali
4593	49	Nazzareno	Amato	1996-07-02	QFXVSH06V60Y231W	2019-06-25	624625	yago66@ricci.it	Corso di Laurea Magistrale in Chimica	Dipartimento di Scienze chimiche
432	52	Neri	Amato	1974-09-18	LPJDOM43C66D593Z	2019-05-26	620464	valentini.bortolo@giordano.com	Corso di Laurea Magistrale in Scienze e Tecnologie per l'Ambiente	Dipartimento di Scienze chimiche
1706	21	Osvaldo	Amato	1979-07-22	BTMWVW15K43Z325M	2019-11-03	621738	caputo.clea@silvestri.com	Corso di Laurea in Ingegneria Biomedica	Dipartimento di Ingegneria dell'informazione
3933	64	Rita	Amato	2001-05-10	TFJDDO18C03M216P	2020-09-10	623965	esanna@libero.it	Corso di Laurea Magistrale in Relazioni Internazionali e Diplomazia	Dipartimento di Scienze politiche, giuridiche e studi internazionali
4674	21	Ruth	Amato	1981-10-17	EIMSKW54A23D437N	2020-05-24	624706	gianriccardo06@gmail.com	Corso di Laurea in Ingegneria Biomedica	Dipartimento di Ingegneria dell'informazione
1308	38	Ruth	Amato	1986-02-03	ZZHWVY74G68C988G	2020-08-26	621340	helga.montanari@libero.it	Corso di Laurea in Educazione Professionale	Dipartimento di Neuroscienze
1035	11	Samuel	Amato	1973-10-07	SOVZHT94J85X156B	2020-08-11	621067	coppola.kociss@yahoo.com	Corso di Laurea in Astronomia	Dipartimento di Fisica e astronomia
3678	31	Terzo	Amato	1997-09-26	KLDSAS82X26W578D	2019-06-28	623710	gianmarco22@negri.net	Corso di Laurea Magistrale in Informatica	Dipartimento di Matematica
4572	35	Ursula	Amato	1984-08-22	ZZIUKC77L95W498L	2020-03-04	624604	arcibaldo.desantis@gmail.com	Corso di Laurea in Tecniche di Radiologia Medica	Dipartimento di Medicina
1991	34	Ursula	Amato	1997-09-20	ZPHIFG75Q15R492F	2021-05-19	622023	concetta.costa@vitali.com	Corso di Laurea in Tecniche di Laboratorio Biomedico	Dipartimento di Medicina
446	19	Vienna	Amato	1999-05-24	TJKUVT75W72M851H	2020-12-13	620478	mariapia.barbieri@caputo.com	Corso di Laurea in Ingegneria dell'Informazione	Dipartimento di Ingegneria dell'informazione
2476	7	Violante	Amato	1978-12-01	WEABMT00X98V325E	2019-06-20	622508	costantino.basile@negri.com	Corso di Laurea Magistrale in Biologia molecolare	Dipartimento di Biologia
1402	20	Aaron	Barbieri	1976-07-29	HBZGBK78T72N870U	2018-12-10	621434	muzio.marino@gmail.com	Corso di Laurea in Ingegneria Informatica	Dipartimento di Ingegneria dell'informazione
2924	55	Abramo	Barbieri	1987-11-29	HAIGOE95G29Z748I	2018-06-21	622956	gallo.antonio@grasso.net	Corso di Laurea Magistrale in Economics and Finance	Dipartimento di Scienze economiche e aziendali
3188	43	Albino	Barbieri	1972-09-05	LMZRPC11Q44J392N	2019-02-22	623220	ferrara.cosetta@gmail.com	Corso di Laurea in Tecniche di Neurofisiopatologia	Dipartimento di Neuroscienze
4204	50	Benedetta	Barbieri	1971-12-03	RFCOOG73I95N859F	2020-05-19	624236	coppola.osvaldo@yahoo.com	Corso di Laurea Magistrale in Chimica Industriale	Dipartimento di Scienze chimiche
1051	15	Bettino	Barbieri	1978-12-30	ELQHAK11V47V868L	2020-06-24	621083	flavio.rizzo@amato.com	Corso di Laurea in Ingegneria Civile	Dipartimento di Ingegneria civile, edile e ambientale
4816	69	Bibiana	Barbieri	1999-10-24	YHFOQE64D81H732H	2019-07-23	624848	bellini.rosita@yahoo.com	Corso di Laurea in Lettere	Dipartimento di Studi linguistici e letterari
2657	67	Bortolo	Barbieri	1988-09-05	VETLWL10E76B745R	2021-06-01	622689	romeo11@lombardo.com	Corso di Laurea in Statistica per le Tecnologie e le Scienze	Dipartimento di Scienze statistiche
414	68	Cleopatra	Barbieri	1986-04-29	UNGLCC74Q04R657N	2018-06-13	620446	martino.naomi@email.it	Corso di Laurea Magistrale in Scienze Statistiche	Dipartimento di Scienze statistiche
3641	25	Diana	Barbieri	1984-12-23	DHFYKC47A51K863M	2021-05-24	623673	ninfa22@libero.it	Corso di Laurea Magistrale in Ingegneria Elettronica	Dipartimento di Ingegneria dell'informazione
4812	19	Elio	Barbieri	1998-07-04	JQBIJQ82Q62G414G	2019-01-01	624844	oferrari@gmail.com	Corso di Laurea in Ingegneria dell'Informazione	Dipartimento di Ingegneria dell'informazione
131	46	Elsa	Barbieri	1976-08-03	KRBKDM32M20F494N	2020-05-13	620163	erminia58@yahoo.com	Corso di Laurea in Chimica Industriale	Dipartimento di Scienze chimiche
4629	62	Evangelista	Barbieri	1976-12-07	ODFFAX55D94F478R	2020-11-15	624661	hbruno@grasso.it	Corso di Laurea Magistrale in Human Rights and Multi-Level Governance	Dipartimento di Scienze politiche, giuridiche e studi internazionali
3530	41	Fabio	Barbieri	1991-12-08	UUAKOV67A59B032F	2021-05-24	623562	ruggiero.silvano@email.it	Corso di Laurea in Logopedia	Dipartimento di Neuroscienze
4341	57	Gabriele	Barbieri	1986-11-08	LFEFNQ34P45Q360T	2018-08-05	624373	anegri@gmail.com	Corso di Laurea Magistrale in Economia e Diritto	Dipartimento di Scienze economiche e aziendali
2143	2	Gaetano	Barbieri	1976-03-10	MBWRGR26Z72D223Z	2019-03-25	622175	raoul.ferraro@yahoo.it	Corso di Laurea in Biologia molecolare	Dipartimento di Biologia
3673	9	Gastone	Barbieri	1982-11-16	SPRMTV04I73G531Q	2018-07-24	623705	lesposito@yahoo.it	Corso di Laurea Magistrale in Biotecnologie industriali	Dipartimento di Biologia
1295	10	Genziana	Barbieri	1998-11-02	YTUFYU40F64R435Z	2019-07-15	621327	gelsomina.bruno@yahoo.com	Corso di Laurea Magistrale in Scienze della natura	Dipartimento di Biologia
1849	17	Gianmaria	Barbieri	1983-09-11	RNLYSN96W65S708Y	2018-12-17	621881	penelope.dangelo@rossetti.com	Corso di Laurea in Ingegneria Edile - Architettura	Dipartimento di Ingegneria civile, edile e ambientale
1825	30	Gilda	Barbieri	1994-05-26	EXBQTH39F17F482H	2018-12-26	621857	gatti.lidia@libero.it	Corso di Laurea Magistrale in Matematica	Dipartimento di Matematica
346	53	Guido	Barbieri	2001-05-09	QIDXRR92W55K291T	2018-09-30	620378	vbellini@libero.it	Corso di Laurea in Economia	Dipartimento di Scienze economiche e aziendali
2244	50	Joseph	Barbieri	1974-02-01	AQCDBV76V46Q972V	2020-04-30	622276	conte.germano@galli.it	Corso di Laurea Magistrale in Chimica Industriale	Dipartimento di Scienze chimiche
1155	35	Luce	Barbieri	1992-07-22	CLBZBQ07W65T989N	2020-09-09	621187	sesto.gentile@yahoo.com	Corso di Laurea in Tecniche di Radiologia Medica	Dipartimento di Medicina
528	69	Maika	Barbieri	1990-04-29	VBMCXI81Q82M718M	2020-05-11	620560	ygiordano@yahoo.com	Corso di Laurea in Lettere	Dipartimento di Studi linguistici e letterari
2306	36	Marcella	Barbieri	1978-08-06	QZHMTI93L75W871Y	2020-04-27	622338	rinaldi.cira@esposito.net	Corso di Laurea Magistrale in Scienze delle Professioni Sanitarie	Dipartimento di Medicina
